date,singapore_vlsfo_usd_mt,global_20ports_vlsfo_usd_mt,houston_vlsfo_usd_mt
2026-01-05,425.0,460.0,413.0
2026-01-06,427.0,460.0,411.5
2026-01-07,422.5,458.5,408.0
2026-01-08,423.5,458.0,410.0
2026-01-09,430.5,462.0,414.0
2026-01-12,431.5,466.0,422.0
2026-01-13,438.5,472.0,438.0
2026-01-14,448.0,477.5,446.0
2026-01-15,449.5,477.0,438.0
2026-01-16,448.5,476.0,431.0
2026-01-19,449.5,476.0,438.0
2026-01-20,451.5,476.0,438.5
2026-01-21,450.0,480.0,442.5
2026-01-22,457.0,484.5,446.5
2026-01-23,459.5,485.0,442.0
2026-01-26,465.5,488.0,449.0
2026-01-27,468.0,487.0,451.0
2026-01-28,476.0,493.5,457.0
2026-01-29,484.5,502.0,474.0
2026-01-30,485.5,503.0,476.5
2026-02-02,473.0,495.0,462.0
2026-02-03,471.0,494.5,453.5
2026-02-04,484.5,503.5,463.0
2026-02-05,490.0,507.5,457.5
2026-02-06,489.5,508.5,457.5
2026-02-09,485.5,507.5,465.0
2026-02-10,487.5,510.5,467.5
2026-02-11,491.0,516.5,472.5
2026-02-12,491.5,517.0,470.5
2026-02-13,482.5,509.5,460.0
2026-02-16,484.5,510.0,455.5
2026-02-17,490.5,512.5,457.5
2026-02-18,490.0,516.0,468.5
2026-02-19,508.0,532.0,485.0
2026-02-20,516.0,535.5,490.5
2026-02-23,515.0,536.0,492.5
2026-02-24,514.5,538.0,490.5
2026-02-25,511.5,537.5,488.5
2026-02-26,513.0,536.5,493.0
2026-02-27,521.5,543.5,494.5
2026-03-02,574.5,587.5,553.0
2026-03-03,640.5,629.0,579.0
2026-03-04,658.5,659.0,589.0
2026-03-05,695.5,681.5,600.5
2026-03-06,822.5,735.0,668.0
2026-03-09,1116.0,929.0,775.5
2026-03-10,1050.5,907.0,718.5
2026-03-11,1049.0,,685.0
2026-03-12,1085.5,,716.5
2026-03-13,1120.5,,743.0
