model_info,durbin_watson,residual_acf1,ljung_box_lag10_stat,ljung_box_lag10_p_value,ljung_box_lag20_stat,ljung_box_lag20_p_value,white_test_stat,white_test_df,white_test_p_value
direct_avg,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
Direct model of Singapore/Houston average,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
avg_sing_hou_bbl,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
Average Singapore/Houston VLSFO ($/bbl),0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
level,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
two_ma_plus_spot,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
wti,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
brent,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
wti,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
30,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
45,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
0,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
linear_combo_plus_spot,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
692,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
0.885459113385132,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
0.88495966184466,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
3.89363806812573,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
2.68619341969213,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
3877.84089565622,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
3855.14296587813,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
0.885459113385132,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
3.89363806812573,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
2.68619341969213,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
1907.49037974534,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
1889.33203592287,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
4,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
0,0.305166869471808,0.843651137232501,1559.6743955958,0,1639.8756121535,0,95.20280639541,2,2.1231137373554e-21
