sample,model,model_class,lag_span_k,lag_count_x,n,r_squared,adj_r_squared,rmse,bic,aic,delta_bic_vs_best_lag,near_equal_fit_by_bic
full_sample,best_lag_model,distributed_lag,0,1,270,0.342802352360961,0.340350122332457,6.37236302912249,1783.08606981685,1772.29080393986,0,TRUE
full_sample,moving_average_model,moving_average,0,1,270,0.342802352360961,0.340350122332457,6.37236302912249,1783.08606981685,1772.29080393986,0,TRUE
excluding_spike_2021_08_to_2022_12,best_lag_model,distributed_lag,0,1,253,0.654541560029085,0.653165231582985,3.31190449691423,1340.52990698881,1329.92973852262,0,TRUE
excluding_spike_2021_08_to_2022_12,moving_average_model,moving_average,0,1,253,0.654541560029085,0.653165231582985,3.31190449691423,1340.52990698881,1329.92973852262,0,TRUE
