sample,model_id,model_label,start_lag,end_lag,lag_count,include_current_month,n,intercept,slope_ma,r_squared,adj_r_squared,rmse,bic,aic,rank_r2,optimal_by_r2,delta_r2_vs_best
full_sample,ma_lag0,MA: lag 0,0,0,1,TRUE,264,1.95061905686267,0.135343294490987,0.331732373320278,0.32918173352379,6.44401793439252,1749.67178001031,1738.94393270087,9,FALSE,0.035241287633885
full_sample,ma_lag0_1,MA: lags 0-1,0,1,2,TRUE,264,1.53852514894551,0.139618874329084,0.348728149318831,0.346242378896384,6.36154615927579,1742.87072087597,1732.14287356653,8,FALSE,0.0182455116353311
full_sample,ma_lag0_2,MA: lags 0-2,0,2,3,TRUE,264,1.22399364867375,0.142892380081155,0.360262995593265,0.357821251301636,6.30495897746248,1738.15304532958,1727.42519802014,5,FALSE,0.00671066536089782
full_sample,ma_lag1,MA: lag 1,1,1,1,FALSE,264,1.49664206707258,0.14007903731519,0.356415123100048,0.353958692272185,6.3238919973905,1739.73618888417,1729.00834157473,7,FALSE,0.0105585378541149
full_sample,ma_lag1_2,MA: lags 1-2,1,2,2,FALSE,264,1.27006326341023,0.142447315096359,0.364139013599907,0.361712063270135,6.28582981722311,1736.5486654067,1725.82081809726,3,FALSE,0.00283464735425598
full_sample,ma_lag1_3,MA: lags 1-3,1,3,3,FALSE,264,1.13168792930304,0.143921838960415,0.366930481918519,0.364514186047979,6.27201705364889,1735.38713792776,1724.65929061833,2,FALSE,4.31790356431594e-05
full_sample,ma_lag1_4,MA: lags 1-4,1,4,4,FALSE,264,1.03310982483433,0.144983553967435,0.366973660954163,0.364557529889102,6.2718031559187,1735.369130973,1724.64128366356,1,TRUE,0
full_sample,ma_lag1_5,MA: lags 1-5,1,5,5,FALSE,264,0.986066064272424,0.145517671630327,0.364109407660525,0.361682344330985,6.2859761508828,1736.56095706512,1725.83310975568,4,FALSE,0.00286425329363793
full_sample,ma_lag1_6,MA: lags 1-6,1,6,6,FALSE,264,1.03358581227728,0.145079243764231,0.35641536749275,0.353958937597684,6.32389079668391,1739.7360886337,1729.00824132426,6,FALSE,0.0105582934614127
excluding_spike_2021_08_to_2022_12,ma_lag0,MA: lag 0,0,0,1,TRUE,247,0.989753263485001,0.131569984695329,0.647229599687844,0.645789720502896,3.34924189557886,1314.59840649064,1304.07024148076,9,FALSE,0.0586141784925519
excluding_spike_2021_08_to_2022_12,ma_lag0_1,MA: lags 0-1,0,1,2,TRUE,247,0.651940943494652,0.135089933003225,0.674672361258608,0.673344493345377,3.21633240785304,1294.59520348633,1284.06703847645,8,FALSE,0.0311714169217884
excluding_spike_2021_08_to_2022_12,ma_lag0_2,MA: lags 0-2,0,2,3,TRUE,247,0.390158981193685,0.137827656106404,0.693232912115997,0.691980801553205,3.12323618766429,1280.08543413764,1269.55726912775,6,FALSE,0.0126108660643989
excluding_spike_2021_08_to_2022_12,ma_lag1,MA: lag 1,1,1,1,FALSE,247,0.64665949581783,0.135173889738026,0.685225105862213,0.683940310375937,3.16373784387056,1286.45037054623,1275.92220553635,7,FALSE,0.0206186723181826
excluding_spike_2021_08_to_2022_12,ma_lag1_2,MA: lags 1-2,1,2,2,FALSE,247,0.462508738864809,0.137110628456901,0.697196919266515,0.695960988324745,3.10299153543277,1276.87292926583,1266.34476425594,5,FALSE,0.0086468589138814
excluding_spike_2021_08_to_2022_12,ma_lag1_3,MA: lags 1-3,1,3,3,FALSE,247,0.325216748635997,0.138579179651956,0.703619348842112,0.70240963189861,3.06990806735282,1271.57772255054,1261.04955754066,3,FALSE,0.00222442933828404
excluding_spike_2021_08_to_2022_12,ma_lag1_4,MA: lags 1-4,1,4,4,FALSE,247,0.215423797932208,0.139761048555445,0.705843778180396,0.704643140540316,3.05836606062784,1269.71691869456,1259.18875368468,1,TRUE,0
excluding_spike_2021_08_to_2022_12,ma_lag1_5,MA: lags 1-5,1,5,5,FALSE,247,0.140923436454618,0.14058226532163,0.703937656451146,0.702729238722375,3.06825911084831,1271.31230634105,1260.78414133117,2,FALSE,0.00190612172925031
excluding_spike_2021_08_to_2022_12,ma_lag1_6,MA: lags 1-6,1,6,6,FALSE,247,0.107204844801354,0.140985561332677,0.697801028272074,0.696567563081347,3.09989466961577,1276.37965829804,1265.85149328816,4,FALSE,0.00804274990832243
