date,lsfo_bbl,r1_counterfactual_bbl,oil_generation_mwh,oil_avg_mw,estimated_barrels,savings_per_bbl,savings_per_mmbtu,monthly_savings_usd,cumulative_savings_usd
2024-03-01,118.05,122.958417844151,393664.467,529.118907258065,701833.8594239,4.9084178441511,0.78911020783937,3444893.83922571,3444893.83922571
2024-04-01,120.32,130.446570089363,390001,541.668055555556,695302.548119438,10.1265700893626,1.62801539755606,7041029.98684393,10485923.8260696
2024-05-01,119.52,133.486264525045,431918.937,580.536205645161,770034.788313719,13.9662645250454,2.24531045482014,10754509.5470768,21240433.3731464
2024-06-01,117.25,130.675357519824,413569.878,574.402608333333,737321.673531209,13.425357519824,2.15835061300051,9898807.07427147,31139240.4474179
2024-07-01,112.76,121.313242922654,444366,597.266129032258,792225.691979359,8.55324292265351,1.37507675888645,6776098.79306673,37915339.2404846
2024-08-01,113.01,120.550785550235,476825.82,640.894919354839,850095.788613722,7.54078555023548,1.21230731403788,6410390.0390944,44325729.279579
2024-09-01,113.94,120.859585123137,462398.827,642.220593055556,824375.021244917,6.91958512313742,1.11243896262575,5704333.13289243,50030062.4124714
2024-10-01,108.24,114.297046358215,487016.939,654.592659946237,868264.744613549,6.05704635821459,0.973771439674579,5259119.80932762,55289182.2217991
2024-11-01,98.76,110.165779215837,439653,610.629166666667,783823.249654117,11.4057792158367,1.83366964536318,8940114.92979448,64229297.1515935
2024-12-01,99.92,109.414415618731,481736.763,647.495649193548,858851.128168158,9.49441561873132,1.52638600055986,8154289.56544477,72383586.7170383
2025-01-01,101.38,107.283315077179,443299.29,595.832379032258,790323.937416923,5.90331507717851,0.949056566780383,4665531.2156084,77049117.9326467
2025-02-01,101.77,107.74990191854,397100.529,590.92340625,707959.747983407,5.97990191854046,0.961369181603286,4233529.8552154,81282647.7878621
2025-03-01,105.76,112.788703796253,411373,552.920698924731,733405.030057711,7.02870379625304,1.12998161314073,5154886.71895771,86437534.5068198
2025-04-01,102.9,107.531486939729,415675.9,577.327638888889,741076.336885907,4.63148693972947,0.744588936325026,3432285.37562963,89869819.8824494
2025-05-01,97.06,95.9442440658865,395666.792,531.810204301075,705403.649436395,-1.11575593411347,-0.179376415175298,-787058.307803953,89082761.5746455
2025-06-01,93.85,88.4008603417724,416679.812,578.721961111111,742866.13376255,-5.44913965822757,-0.876040277087163,-4047981.31023969,85034780.2644058
2025-07-01,93.17,87.5580347304223,447402.333,601.347221774194,797638.934693709,-5.61196526957767,-0.902217215582152,-4476321.99916402,80558458.2652418
2025-08-01,95.96,93.4139045732651,479679,644.729838709677,855182.502043286,-2.54609542673489,-0.409327395336515,-2177376.25747612,78381082.0077656
2025-09-01,97.5,93.5188160780742,473206,657.230555555556,843642.292161832,-3.98118392192579,-0.640041857035696,-3358695.12941131,75022386.8783543
2025-10-01,96.15,89.4610965572139,0,0,0,-6.6889034427861,-1.07535302689115,0,75022386.8783543
2025-11-01,96.3,84.7675621854066,0,0,0,-11.5324378145934,-1.85403213208763,0,75022386.8783543
2025-12-01,94.16,78.4400471048863,0,0,0,-15.7199528951137,-2.52724517149041,0,75022386.8783543
